### Table 1: p=10, z=1.0
| Run | Start x | Start y | Final x | Final y | Min f(x,y) |
| 25 | -370.5579 | -330.3275 | -388.5080 | -355.7466 | -361.5773 |
| 26 | 214.0248 | 344.4847 | 200.5702 | 356.6193 | -357.1158 |
| 27 | -201.6520 | 156.6787 | -236.1945 | 192.3631 | -232.6374 |
| 28 | 357.4587 | -34.3099 | 335.7195 | -86.8605 | -332.9300 |
| 29 | 259.2785 | 437.0648 | 233.1036 | 478.9754 | -479.9712 |
| 30 | 383.3202 | -287.0003 | 405.2571 | -314.6664 | -403.5423 |
| 31 | -280.7777 | -369.4213 | -315.5267 | -363.9454 | -346.0316 |
| 32 | -223.6280 | -444.1723 | -278.6759 | -438.9870 | -435.2963 |
| 33 | -482.4622 | -280.8471 | -453.9552 | -328.8052 | -443.4420 |
| 34 | -87.8508 | -244.7651 | -131.8549 | -291.5560 | -287.3323 |
| 35 | 488.2234 | 251.6173 | 501.0080 | 301.3299 | -500.2528 |
| 36 | -98.4272 | -259.8133 | -118.2469 | -281.1103 | -255.9482 |
| 37 | 57.5020 | -466.6655 | 104.4146 | -512.0000 | -476.8499 |
| 38 | 10.8386 | -107.8734 | -16.5029 | -105.7047 | -104.6446 |
| 39 | -38.2425 | 69.4679 | -15.2005 | 78.1205 | -75.7333 |
| 40 | 474.8186 | -174.6726 | 484.2491 | -235.9865 | -481.6646 |
| 41 | -121.1363 | -315.2844 | -130.9446 | -290.3181 | -288.1544 |
| 42 | -229.8535 | -406.4285 | -279.5895 | -438.4850 | -436.2796 |
| 43 | -379.4782 | 309.1794 | -377.1692 | 336.9682 | -376.5095 |
| 44 | -292.4956 | 87.1564 | -291.4681 | 127.9026 | -287.5277 |
| 45 | -396.4407 | -377.7325 | -406.5273 | -384.1186 | -405.5543 |
| 46 | -266.5013 | -0.4468 | -275.1719 | 25.4603 | -273.6971 |
| 47 | -270.6408 | -482.7127 | -280.8778 | -438.2180 | -436.0897 |
| 48 | 156.4110 | 428.8344 | 99.3888 | 455.5032 | -455.8517 |
| 49 | 128.0775 | -266.1036 | 78.9178 | -281.1551 | -278.8169 |
| 50 | 273.1603 | 230.5625 | 276.3783 | 216.3747 | -273.6282 |

### Table 3: p=50, z=1.0
| Run | Start x | Start y | Final x | Final y | Min f(x,y) |
|-----|---------|---------|---------|---------|------------|
| 1 | -406.3910 | -363.5006 | -505.0346 | -504.5706 | -504.7772 |
| 2 | -95.5250 | 293.6854 | -142.8916 | 344.1513 | -343.3914 |
| 3 | 424.6575 | -165.5343 | 483.6997 | -235.4471 | -481.7670 |
| 4 | -507.4477 | -67.0318 | -512.0000 | -105.0924 | -468.1433 |
| 5 | 104.8322 | 326.2783 | 85.7261 | 332.3709 | -332.6641 |
| 6 | 81.2896 | -501.2708 | 105.2162 | -512.0000 | -477.0609 |
| 7 | 313.5320 | 472.6422 | 350.8289 | 512.0000 | -480.2620 |
| 8 | 326.6209 | -238.3509 | 308.5139 | -265.5830 | -302.8754 |
| 9 | -416.2041 | 198.0517 | -404.1810 | 154.2072 | -402.5354 |
| 10 | -93.1521 | 480.2079 | -33.3716 | 451.5010 | -451.3758 |
| 11 | 91.4113 | -340.7480 | 93.0036 | -394.6159 | -392.3820 |
| 12 | -500.0115 | 134.4200 | -512.0000 | 172.7639 | -437.2349 |
| 13 | -333.6930 | 59.7082 | -388.4017 | 30.0691 | -387.2304 |
| 14 | 233.6499 | -232.3599 | 308.5268 | -265.6126 | -302.8751 |
| 15 | -224.5117 | 319.3694 | -214.7826 | 279.0663 | -276.2807 |
| 16 | -208.0237 | 365.3714 | -257.8967 | 380.8453 | -379.0307 |
| 17 | 457.2832 | 28.5896 | 452.1769 | 32.3899 | -451.2296 |
| 18 | -486.4636 | 349.7842 | -498.3521 | 404.7490 | -494.1614 |
| 19 | 157.4102 | 19.9740 | 141.0656 | 17.7170 | -140.2850 |
| 20 | -385.7730 | 330.0923 | -389.7932 | 344.3992 | -383.0313 |
| 21 | 206.4949 | 222.9815 | 267.0490 | 266.2596 | -267.1998 |
| 22 | -469.8674 | 294.3535 | -440.3883 | 278.6410 | -437.9893 |
| 23 | -303.2657 | -281.2184 | -334.8373 | -335.0866 | -334.3955 |
| 24 | 180.5102 | -142.8137 | 176.1015 | -134.1721 | -172.5199 |
| 25 | 103.7722 | 389.3054 | 85.6472 | 332.4364 | -332.6684 |
| 26 | 329.6198 | -334.9129 | 402.9044 | -431.7774 | -422.1106 |
| 27 | 58.2102 | 266.4546 | 71.0598 | 228.8895 | -229.0099 |
| 28 | 25.4264 | -106.4948 | 49.2690 | -114.2758 | -111.5013 |
| 29 | -441.0785 | 86.7798 | -388.2760 | 30.0101 | -387.2325 |
| 30 | 341.3271 | 400.0059 | 316.2499 | 402.6235 | -402.2735 |
| 31 | -343.2890 | 294.6936 | -389.7011 | 344.3299 | -383.0305 |
| 32 | 198.2134 | -456.6624 | 217.4129 | -420.8957 | -417.7196 |
| 33 | 141.3956 | 62.0666 | 155.7285 | 93.3254 | -155.0216 |
| 34 | 176.6041 | -416.8881 | 217.2790 | -420.6178 | -417.7244 |
| 35 | -397.4790 | -119.5984 | -392.6368 | -94.0268 | -391.8956 |
| 36 | 92.7444 | 339.2641 | 85.6232 | 332.5179 | -332.6674 |
| 37 | -82.7608 | -118.8116 | -82.7029 | -122.5108 | -120.5917 |
| 38 | 467.4129 | 437.4606 | 512.0000 | 491.1794 | -510.5849 |
| 39 | 378.6982 | 322.7065 | 435.1262 | 374.9379 | -432.7748 |
| 40 | 416.9800 | 14.2508 | 452.1446 | 32.6202 | -451.2241 |
| 41 | 423.9146 | -157.3542 | 457.7263 | -101.3257 | -456.5070 |
| 42 | 251.8170 | 365.7633 | 200.3247 | 357.1374 | -357.3172 |
| 43 | 166.8754 | 219.4809 | 166.2258 | 253.6207 | -253.7838 |
| 44 | 76.1063 | -410.8350 | 93.0088 | -394.6737 | -392.3828 |
| 45 | 277.0714 | 257.4704 | 275.3137 | 213.9795 | -273.9473 |
| 46 | -360.0770 | -408.0370 | -447.3300 | -456.9370 | -455.5676 |
| 47 | 451.3218 | 9.4294 | 452.2884 | 32.4810 | -451.2262 |
| 48 | 248.9537 | -60.5085 | 231.2791 | -71.9623 | -229.6466 |
| 49 | 81.5150 | 279.9723 | 85.5903 | 332.4691 | -332.6676 |
| 50 | -348.7919 | -116.1174 | -392.7333 | -93.9674 | -391.8965 |

### Table 4: p=50, z=5.0
| Run | Start x | Start y | Final x | Final y | Min f(x,y) |
|-----|---------|---------|---------|---------|------------|
| 1 | 488.0448 | 243.8918 | 501.4816 | 300.5383 | -500.4194 |
| 2 | -442.1829 | -121.8950 | -391.9357 | -93.2494 | -391.6535 |
| 3 | -15.4088 | 261.2709 | -23.8563 | 224.4443 | -224.3999 |
| 4 | -491.8678 | 44.7177 | -512.0000 | 34.3826 | -499.4955 |
| 5 | -495.6708 | 260.6903 | -441.1856 | 278.9081 | -437.9336 |
| 6 | 47.9927 | 468.8466 | 100.0605 | 456.3509 | -455.9511 |
| 7 | 410.6682 | -465.0069 | 420.5027 | -457.8681 | -422.3630 |
| 8 | -24.0022 | -125.2910 | -16.3829 | -107.9862 | -105.6825 |
| 9 | -407.8480 | -394.8225 | -487.2955 | -484.9221 | -487.0248 |
| 10 | 337.1149 | -340.7614 | 400.7374 | -428.5292 | -421.3590 |
| 11 | 63.9758 | -125.3349 | 49.3361 | -114.2198 | -111.4960 |
| 12 | 18.0167 | 74.3964 | 41.5519 | 80.1503 | -80.8448 |
| 13 | 235.2262 | -309.5108 | 290.2202 | -356.6855 | -351.0501 |
| 14 | 75.0530 | 321.3205 | 85.5106 | 332.4291 | -332.6641 |
| 15 | 130.7210 | -31.1835 | 147.9153 | -58.1245 | -145.7604 |
| 16 | -36.5709 | 1.5344 | -53.3825 | 10.2554 | -51.7680 |
| 17 | -142.9938 | 312.5597 | -142.5057 | 343.5998 | -343.3390 |
| 18 | 47.1858 | -451.3098 | 93.0529 | -394.8438 | -392.3778 |
| 19 | -361.4300 | -381.6569 | -348.0995 | -384.8014 | -379.7486 |
| 20 | 472.7582 | 88.5160 | 452.2751 | 32.6818 | -451.2160 |
| 21 | -199.3032 | -279.0563 | -237.0534 | -325.8946 | -322.8897 |
| 22 | 504.1940 | 143.8370 | 466.1896 | 166.4151 | -465.7889 |
| 23 | 391.1249 | -108.5609 | 457.6118 | -101.4517 | -456.5006 |
| 24 | 119.8887 | -438.4298 | 92.8047 | -394.9626 | -392.3416 |
| 25 | 111.5114 | 73.8793 | 131.7777 | 129.5997 | -131.5175 |
| 26 | 294.6151 | 41.8472 | 328.7420 | 27.5626 | -327.8490 |
| 27 | 507.8012 | -171.3356 | 457.8377 | -101.1383 | -456.4854 |
| 28 | -318.5438 | -116.4219 | -278.9004 | -80.5032 | -278.0327 |
| 29 | -166.7658 | 351.4669 | -143.2473 | 344.3201 | -343.3487 |
| 30 | 56.9637 | -251.9985 | 78.9085 | -282.2072 | -278.7653 |
| 31 | -35.0420 | 105.4700 | -19.0150 | 140.9794 | -140.5264 |
| 32 | 113.4096 | -353.5782 | 93.0359 | -394.5563 | -392.3797 |
| 33 | -6.1222 | -326.9306 | -31.2057 | -389.3381 | -387.0340 |
| 34 | -318.5174 | 256.3892 | -328.8928 | 235.5506 | -325.0670 |
| 35 | 435.4394 | 244.8735 | 466.4576 | 166.1823 | -465.8562 |
| 36 | 446.5430 | 372.8148 | 435.1335 | 374.7917 | -432.7599 |
| 37 | -416.3004 | -124.9171 | -392.4906 | -94.2802 | -391.8614 |
| 38 | -185.6265 | -425.1943 | -155.4825 | -402.9336 | -401.5274 |
| 39 | -255.4822 | 323.3031 | -257.9514 | 381.1083 | -379.0177 |
| 40 | -258.7989 | 50.3351 | -275.3132 | 25.2827 | -273.6960 |
| 41 | 205.0641 | -400.0864 | 217.3339 | -420.8728 | -417.7197 |
| 42 | 302.4681 | 108.6305 | 342.9520 | 142.5000 | -342.3365 |
| 43 | -216.3661 | 112.3198 | -197.5981 | 105.4917 | -195.7121 |
| 44 | -265.9843 | -122.9737 | -278.9735 | -77.9565 | -278.0311 |
| 45 | -85.0927 | -386.6588 | -30.6426 | -389.3817 | -386.9984 |
| 46 | -316.4427 | -300.6178 | -349.3779 | -350.3051 | -349.3101 |
| 47 | -86.3098 | -60.2628 | -95.3062 | -96.3927 | -95.3305 |
| 48 | -289.5936 | -244.2282 | -342.2359 | -343.4152 | -340.1432 |
| 49 | 379.4543 | -155.2006 | 360.3764 | -201.2453 | -358.6188 |
| 50 | -14.7269 | -487.2776 | -35.0932 | -512.0000 | -492.5680 |

